callsign,icao24,latitude,longitude,on_ground,origin_country,velocity,baro_alt,vertical_rate,category,geo_altitude,airline_code,velocity_knots,vertical_rate_fpm,baro_alt_fpm
AHY8227,600805,42.0027,42.8395,False,Azerbaijan,204.55,7520.94,-17.56,0,7901.94,AHY,397.61247,-3456.6859999999997,7520.94
FIN1934,461fa2,42.1423,29.1485,False,Finland,185.56,11887.2,0.0,0,12001.5,FIN,360.69895,0.0,11887.2
XAX604,7501fa,41.1455,42.6359,False,Malaysia,207.72,12192.0,0.0,0,12717.78,XAX,403.77444,0.0,12192.0
FDB719,8965c1,38.1411,27.5182,False,United Arab Emirates,206.85,12192.0,0.0,0,12877.8,FDB,402.0833,0.0,12192.0
FHY1311,4b984f,41.0896,29.1819,False,Turkey,213.45,10370.82,0.0,0,10942.32,FHY,414.91265,0.0,10370.82
AFL630,152018,41.0159,28.7326,False,Russian Federation,85.4,1455.42,-2.6,0,1607.82,AFL,166.00394,-511.81,1455.42
SVR1852,152041,41.7162,43.3011,False,Russian Federation,257.53,10668.0,0.0,0,11117.58,SVR,500.59712,0.0,10668.0
GFA003,894097,42.4395,28.6448,False,Bahrain,226.18,11574.78,-0.33,0,12131.04,GFA,439.65773,-64.9605,11574.78
SVR784,152051,40.2399,41.165,False,Russian Federation,391.46,10668.0,0.33,0,11170.92,SVR,760.93561,64.9605,10668.0
AFL733,15203a,40.3959,36.9927,False,Russian Federation,250.17,11277.6,0.33,0,11353.8,AFL,486.29045,64.9605,11277.6
SVR1566,152044,40.0121,37.4768,False,Russian Federation,223.45,9441.18,0.0,0,10530.84,SVR,434.35105,0.0,9441.18
JZR301,706212,41.0459,29.4286,False,Kuwait,130.79,3314.7,0.0,0,3550.92,JZR,254.23483,0.0,3314.7
ISR728,49d3bb,37.6493,29.4598,False,Czech Republic,248.32,11277.6,0.0,0,11940.54,ISR,482.69435,0.0,11277.6
CSN377,7813bc,41.239,41.5036,False,China,221.28,11574.78,-0.33,0,12092.94,CSN,430.13292,-64.9605,11574.78
UAG202,502dad,39.793,36.9338,False,Latvia,245.78,11277.6,0.65,0,11811.0,UAG,477.757,127.9525,11277.6
SEU534,508429,41.5085,29.6352,False,Ukraine,218.31,11582.4,0.33,0,12146.28,SEU,424.35971,64.9605,11582.4
GEC8463,3c70c2,41.4895,44.9277,False,Germany,228.36,9144.0,0.0,0,9570.72,GEC,443.8953,0.0,9144.0
THY1131,4ba9ca,38.8299,30.5394,False,Turkey,220.38,12192.0,-0.33,1,12839.7,THY,428.38346,-64.9605,12192.0
THY4RG,4ba9cd,40.9761,28.4133,False,Turkey,124.0,1158.24,-2.28,0,1303.02,THY,241.03616,-448.8179999999999,1158.24
THY2JT,4ba9cc,40.9683,28.5719,False,Turkey,127.32,891.54,-1.3,0,1021.08,THY,247.48971,-255.905,891.54
CAL076,89916c,40.8105,28.9924,False,Taiwan,268.2,11277.6,0.0,0,11864.34,CAL,521.33789,0.0,11277.6
THY2EU,4ba9e1,41.238,42.0325,False,Turkey,211.66,10972.8,0.0,0,11239.5,THY,411.43317,0.0,10972.8
THY6119,4ba9f9,36.5736,33.5159,False,Turkey,212.56,11582.4,-0.33,0,12252.96,THY,413.18263,-64.9605,11582.4
THY6102,4ba9f5,40.1266,44.4249,False,Turkey,284.0,11887.2,0.33,0,12512.04,THY,552.05056,64.9605,11887.2
BTI711,502cc6,41.2529,28.728,False,Latvia,63.8,114.3,-4.55,4,198.12,BTI,124.01699,-895.6674999999999,114.3
TVS56T,49d403,39.4337,28.5493,False,Czech Republic,248.04,11277.6,0.0,0,11902.44,TVS,482.15007,0.0,11277.6
QTR13X,06a2eb,36.7271,35.2587,False,Qatar,272.86,12489.18,0.33,0,13174.98,QTR,530.39618,64.9605,12489.18
CAI9450,4b8de8,37.6902,30.9283,False,Turkey,192.17,6545.58,10.4,0,6949.44,CAI,373.54773,2047.24,6545.58
THY2MV,4ba9aa,41.1519,28.7096,False,Turkey,90.57,693.42,-5.53,0,807.72,THY,176.05359,-1088.5805,693.42
QTR56L,06a2b2,41.1741,28.65,False,Qatar,159.34,2308.86,7.48,0,2499.36,QTR,309.73147,1472.438,2308.86
THY44D,4ba9a8,37.9517,36.0573,False,Turkey,257.66,9403.08,-12.03,0,9913.62,THY,500.84981,-2368.1054999999997,9403.08
